district_lea,district_name,coop,shortage
4605000,Texarkana School District,SOUTHWEST ARK. CO-OP,1
6058700,The Excel Center,PULASKI COUNTY SCHOOLS,1
5605000,Trumann School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
7510000,Two Rivers School District,ARCH FORD EDUCATIONAL SERVICE,0
505000,Valley Springs School District,OZARK UNLITD RESOURCE CO-OP,0
1612000,Valley View School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
1705000,Van Buren School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
2307000,Vilonia School District,ARCH FORD EDUCATIONAL SERVICE,0
2503000,Viola School District,NORTH CENTRAL ARK. EDUC CO-OP,0
6401000,Waldron School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
602000,Warren School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
3509000,Watson Chapel School District,ARK. RIVER EDUC. SERVICE CNTR.,1
7208000,West Fork School District,NORTHWEST ARK. EDUCATION CO-OP,0
1803000,West Memphis School District,GREAT RIVERS EDUC. SERV. CO-OP,1
1204000,West Side School Dist(Cleburne),ARCH FORD EDUCATIONAL SERVICE,0
7509000,Western Yell Co. School Dist.,ARCH FORD EDUCATIONAL SERVICE,0
1602000,Westside Cons. Sch Dist(Craigh,NORTHEAST ARK. EDUC. CO-OP,0
3606000,Westside School Dist(Johnson),GUY FENTER EDUCATION SERVICE COOPERATIVE,0
6063700,Westwind School for Performing Arts,PULASKI COUNTY SCHOOLS,1
7304000,White Co. Central School Dist.,WILBUR D. MILLS EDUC. CO-OP,0
3510000,White Hall School District,ARK. RIVER EDUC. SERVICE CNTR.,1
1505000,Wonderview School District,ARCH FORD EDUCATIONAL SERVICE,0
1304000,Woodlawn School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
1905000,Wynne School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
4502000,Yellville-Summit School District.,OZARK UNLITD RESOURCE CO-OP,0
